speech_id,title,speaker_name,speaker_role,party,department,speech_date,speech_url,topic_relevence_score,processing_activities,relevance_tag,priority_level,regulatory_stance,enforcement_signal,nlp_confidence,ico_mentioned,ingested_at,raw_text,manually_reviewed
P1-001,A pro-innovation approach to AI regulation (White Paper),Michelle Donelan,Secretary of State for Science Innovation and Technology,Conservative,DSIT,29/3/23,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,0.95,AI regulation; data protection principles in AI; automated decision-making; ICO role in AI oversight,AI regulation white paper; pro-innovation; five principles; ICO; sector-led; DSIT; AI safety; fairness; accountability,Primary,Neutral,0.55,0.9,TRUE,16/4/2026,Government white paper setting out UK's proposed approach to AI regulation. Proposes five cross-sectoral principles (safety; transparency; fairness; accountability; contestability) to be interpreted by existing regulators including ICO within their remits. Explicitly rejects horizontal AI legislation in favour of sector-based approach. Asks regulators to publish AI strategies by April 2024. Announces over £100m for AI safety. ICO cited as key regulator for data protection aspects of AI.,TRUE
P1-002,AI Safety Summit opening remarks — Bletchley Declaration,Rishi Sunak,Prime Minister,Conservative,Cabinet Office,1/11/23,https://www.gov.uk/government/speeches/prime-minister-rishi-sunak-opening-remarks-at-ai-safety-summit,0.88,AI safety; frontier AI risk; international AI governance,AI Safety Summit; Bletchley; frontier AI; AI safety; international cooperation; AI Safety Institute,Secondary,Neutral,0.5,0.85,FALSE,16/4/2026,Prime Minister opened the first global AI Safety Summit at Bletchley Park with 28 nations signing the Bletchley Declaration on AI safety. Declaration established shared understanding of frontier AI risks and commitment to share research on AI safety. Announced establishment of the AI Safety Institute. Framed as UK leading global AI safety agenda. Limited direct data protection or ICO content.,TRUE
P1-003,Government response to AI regulation white paper consultation,Michelle Donelan,Secretary of State for Science Innovation and Technology,Conservative,DSIT,6/2/24,https://www.gov.uk/government/consultations/ai-regulation-a-pro-innovation-approach-policy-proposals/outcome/a-pro-innovation-approach-to-ai-regulation-a-pro-innovation-approach,0.92,AI regulation; data protection in AI; ICO AI strategy; automated decision-making,AI regulation; white paper response; pro-innovation; ICO; sector-led; DSIT; AI Policy Directorate; AISI,Primary,Neutral,0.6,0.9,TRUE,16/4/2026,Government's formal response to consultation on March 2023 AI white paper. Reaffirmed pro-innovation sector-led approach. Required key regulators including ICO to publish AI strategies by 30 April 2024. Announced AI Policy Directorate (growing to 160+ staff by end 2023). Confirmed AISI established. Signalled future legislation possible for AI harms where existing law inadequate. ICO explicitly named as lead regulator for data protection in AI.,TRUE
P1-004,King's Speech 2024 — AI and technology commitments,Keir Starmer (Prime Minister) / King Charles III,Prime Minister,Labour,Cabinet Office,17/7/2024,https://www.gov.uk/government/speeches/the-kings-speech-2024,0.9,AI regulation; online safety; cyber security; digital government,King's Speech; AI Bill; AI regulation; Online Safety Act; Cyber Security and Resilience Bill; Labour government,Primary,Pro-enforcement,0.65,0.85,FALSE,16/4/2026,First King's Speech under new Labour government. Committed to: (1) introduce AI legislation to place requirements on developers of the most powerful AI models; (2) implement Online Safety Act; (3) introduce Cyber Security and Resilience Bill. Technology Secretary Peter Kyle subsequently stated legislation on frontier AI would follow within a year. Signalled more interventionist approach to AI regulation than previous Conservative government.,TRUE
P1-005,AI Opportunities Action Plan launch speech,Keir Starmer,Prime Minister,Labour,Cabinet Office,13/1/2025,https://www.gov.uk/government/speeches/pm-speech-on-ai-opportunities-action-plan-january-2025,0.92,AI in public services; AI infrastructure; data access for AI; AI governance,AI Opportunities Action Plan; AI growth zones; National Data Library; AI superpower; DSIT; Peter Kyle; pro-growth,Primary,Deregulatory,0.45,0.9,FALSE,16/4/2026,"Prime Minister launched AI Opportunities Action Plan at UCL setting out roadmap for AI to drive economic growth. Plan structured around three pillars: laying AI foundations; AI adoption in public sector; securing homegrown AI. Announced AI growth zones, National Data Library, new AI infrastructure investment. PM framing was explicitly pro-growth and dismissive of caution. Limited direct data protection or enforcement content but signals deregulatory political environment for AI.",TRUE
P1-006,Technology Secretary speech at London Tech Week — frontier AI legislation,Peter Kyle,Secretary of State for Science Innovation and Technology,Labour,DSIT,12/6/24,https://www.gov.uk/government/speeches/peter-kyle-speech-london-tech-week-2024,0.9,Frontier AI regulation; AI safety data; AI labs; AI governance,frontier AI; AI legislation; AI safety data; London Tech Week; Peter Kyle; Labour AI policy,Primary,Pro-enforcement,0.65,0.85,FALSE,16/4/2026,"Secretary of State for DSIT set out Labour's AI policy intentions at London Tech Week. Committed to legislating to require frontier AI labs to release safety data — framed as codifying the existing voluntary code into law. Indicated legislation would be more targeted than EU AI Act, focusing on high-risk systems. First major public commitment from new government on AI legislation.",TRUE
P1-007,Data (Use and Access) Bill — second reading ministerial statement,Peter Kyle,Secretary of State for Science Innovation and Technology,Labour,DSIT,6/11/24,https://www.gov.uk/government/speeches/data-use-and-access-bill-second-reading,0.95,Data protection reform; PECR reform; smart data; automated decision-making; ICO governance,DUAA; Data Use and Access Bill; data protection reform; PECR; smart data; ICO; Information Commission,Primary,Neutral,0.6,0.9,TRUE,16/4/2026,Secretary of State introduced Data Use and Access Bill at Lords second reading. Framed bill as balancing data protection with enabling innovation and economic growth. Key measures highlighted: PECR fine uplift to UK GDPR levels; smart data schemes; digital identity framework; ADM reforms; ICO restructure to Information Commission. ICO governance changes explicitly discussed as improving regulatory effectiveness.,TRUE
P1-008,AI and copyright consultation launch,Peter Kyle,Secretary of State for Science Innovation and Technology,Labour,DSIT,17/12/2024,https://www.gov.uk/government/consultations/ai-and-copyright,0.82,AI training data; copyright; web scraping; transparency for AI,AI copyright; creative industries; AI training data; transparency; consultation; DSIT,Secondary,Neutral,0.45,0.88,FALSE,16/4/2026,"DSIT launched consultation on AI and copyright seeking to clarify how copyright law applies to AI training data. Four policy options proposed balancing creator protection and AI innovation. Over 11,500 responses received. Closely related to ICO's generative AI consultation on lawful basis for web scraping. Signals government recognition that legal basis for AI training data is unresolved.",TRUE
P1-009,AI Bill delay announcement — letter to MPs,Peter Kyle,Secretary of State for Science Innovation and Technology,Labour,DSIT,6/6/25,https://www.gov.uk/government/publications/ai-bill-delay-letter-to-mps,0.88,Frontier AI regulation; AI safety; AI governance; AI copyright,AI Bill; AI regulation delay; frontier AI; copyright; parliamentary working group; DSIT; Peter Kyle,Primary,Neutral,0.5,0.88,FALSE,16/4/2026,Secretary of State wrote to MPs announcing delay to UK AI Bill until summer 2026 at earliest. Stated government wished to align approach with US and ensure bill covers AI and copyright together. Committed to establishing Parliamentary Working Group on AI and copyright. Delay linked to protracted DUAA passage and difficulty separating AI regulation from copyright issues.,TRUE
P1-010,AI Opportunities Action Plan — Peter Kyle press statement,Peter Kyle,Secretary of State for Science Innovation and Technology,Labour,DSIT,13/1/2025,https://www.gov.uk/government/news/ai-opportunities-action-plan,0.9,AI infrastructure; data access for AI; AI in public services; AI regulation,AI Opportunities Action Plan; DSIT; AI growth; National Data Library; AI growth zones; AI regulation; pro-innovation,Primary,Deregulatory,0.45,0.9,TRUE,16/4/2026,Secretary of State Peter Kyle issued press statement launching AI Opportunities Action Plan. Framed plan as positioning UK as AI superpower. Announced National Data Library to improve data access for AI development — data protection implications flagged by critics. Committed regulators to publish annual reports on how they are enabling AI innovation. ICO among regulators expected to demonstrate pro-innovation approach.,TRUE
