consultation_id,title,publication_date,document_type,consultation_status,consultation_closes,processing_activities,topic_tags,topic_relevance_score,obligation_direction,enforcement_signal,follows_enforcement,source_url,raw_text,ingested_at,nlp_confidence,manually_reviewed
R3-001,Guidance on AI and Data Protection (updated),15/3/23,Guidance,Finalised,,AI processing; automated decision-making; fairness in AI,AI; ADM; fairness; UK GDPR; data protection by design,0.95,Clarifies,0.7,FALSE,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/guidance-on-ai-and-data-protection/,ICO updated its core Guidance on AI and Data Protection to clarify requirements for fairness in AI. Update made following requests from UK industry and delivers on ICO25 commitment to help organisations adopt new technologies while protecting people. Guidance supports the UK government's pro-innovation approach to AI regulation. Updated sections cover fairness as a core data protection principle in AI systems and mitigating discrimination risks.,16/04/2026,1,TRUE
R3-002,Eight questions developers and deployers of generative AI need to ask,1/4/23,Guidance,Finalised,,Generative AI development; training data; AI deployment,generative AI; eight questions; lawful basis; transparency; DPIA; AI governance,0.95,Tightens,0.65,FALSE,https://ico.org.uk/about-the-ico/media-centre/blog-generative-ai-eight-questions-that-developers-and-users-need-to-ask/,ICO published guidance setting out eight key questions that organisations developing or deploying generative AI that processes personal data must ask themselves. Questions covered: legal basis for processing; purpose limitation; data minimisation; accuracy; retention; individual rights; international transfers; and accountability. First ICO substantive guidance specifically addressing generative AI. Signalled intent to scrutinise AI developers and deployers.,16/04/2026,1,TRUE
R3-003,Draft guidance on 'Likely to be accessed by children' under the Children's Code,1/3/23,Consultation,Response Published,19/5/23,Children's data processing; age assurance; online services,Children's Code; age assurance; likely to be accessed; AADC; online services,0.85,Tightens,0.65,FALSE,https://ico.org.uk/about-the-ico/ico-and-stakeholder-consultations/2023/03/ico-consultation-on-the-draft-guidance-for-likely-to-be-accessed-in-the-context-of-the-children-s-code/,ICO consulted on draft guidance clarifying when an online service is 'likely to be accessed by children' and therefore must comply with the Children's Code. Guidance clarified that self-declaration of age is unlikely to be effective where high data processing risks exist for children. Services must document their assessment and apply appropriate age assurance. Consultation closed May 2023.,16/04/2026,1,TRUE
R3-004,Draft biometric data guidance phase one,18/8/23,Consultation,Response Published,20/10/23,Biometric data processing; biometric recognition systems; workplace surveillance,biometrics; facial recognition; fingerprint scanning; biometric recognition; special category data,0.9,Tightens,0.75,TRUE,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/lawful-basis/biometric-data-guidance-biometric-recognition/,ICO published draft guidance on biometric data explaining how data protection law applies when biometric data is used in biometric recognition systems. Consultation ran for nine weeks from August to October 2023 and received 49 responses. Guidance finalised and published alongside Serco Leisure enforcement action in February 2024. Directly followed ICO investigations into biometric processing in workplaces. Tightens obligations on organisations using biometric recognition by clarifying high bar for lawful basis and necessity tests.,16/04/2026,1,TRUE
R3-005,ICO fining guidance,1/3/24,Guidance,Finalised,,All processing activities,fining guidance; monetary penalties; enforcement policy; aggravating factors; mitigating factors; penalty calculation,0.85,Clarifies,0.7,FALSE,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/03/ico-publishes-new-fining-guidance/,ICO published new fining guidance providing transparency on how it decides to issue monetary penalties and calculate fine amounts. Guidance sets out aggravating factors (deliberate breach; large scale; special category data; repeat offender; concealment) and mitigating factors (self-reporting; cooperation; prompt remediation). Important for REG-1 as it quantifies factors that determine penalty severity and gives a framework for predicting fine levels.,16/04/2026,1,TRUE
R3-006,Call for views on the consent or pay model,1/4/24,Call for Evidence,Response Published,1/6/24,Consent management; online advertising; cookies; behavioural advertising,consent or pay; cookies; online advertising; legitimate interests; ad-tech; publisher model,0.85,Clarifies,0.65,FALSE,https://ico.org.uk/about-the-ico/ico-and-stakeholder-consultations/2025/01/call-for-views-on-consent-or-pay-business-models/,ICO launched call for views on its regulatory approach to the 'consent or pay' business model used by some websites (offering users a choice between paying a subscription or consenting to advertising cookies). ICO sought to determine whether this model is compatible with the requirement for freely given consent under UK GDPR. ICO subsequently indicated that many lawful alternatives exist and that consent given under a pay-or-consent model may not be freely given.,16/04/2026,1,TRUE
R3-007,Generative AI consultation series Chapter 1: Lawful basis for web scraping,15/1/24,Consultation,Response Published,1/3/24,Generative AI training; web scraping; lawful basis,generative AI; web scraping; lawful basis; legitimate interests; training data; AI development,0.98,Tightens,0.75,FALSE,https://ico.org.uk/about-the-ico/what-we-do/our-work-on-artificial-intelligence/response-to-the-consultation-series-on-generative-ai/the-lawful-basis-for-web-scraping-to-train-generative-ai-models/,First chapter of ICO five-part generative AI consultation series. Addressed the lawful basis required to web-scrape personal data to train generative AI models. ICO indicated that legitimate interests can potentially apply but requires careful balancing test and that developers must consider whether scraping was reasonably expected by data subjects. Closed March 2024. Key document for any organisation training AI on publicly available data.,16/04/2026,1,TRUE
R3-008,Generative AI consultation series Chapter 2: Purpose limitation,1/3/24,Consultation,Response Published,12/4/24,Generative AI lifecycle; purpose limitation; data reuse,generative AI; purpose limitation; compatible purpose; AI lifecycle; training data,0.95,Tightens,0.7,FALSE,https://ico.org.uk/about-the-ico/what-we-do/our-work-on-artificial-intelligence/generative-ai-second-call-for-evidence/,Second chapter of generative AI consultation series covering how the purpose limitation principle applies at different stages of the generative AI lifecycle from data collection through training to deployment. ICO position: original collection purpose constrains downstream use for AI training. Compatible purpose assessment required. Closed April 2024.,16/04/2026,1,TRUE
R3-009,Generative AI consultation series Chapter 3: Accuracy,1/4/24,Consultation,Response Published,10/5/24,Generative AI outputs; accuracy principle; hallucination,generative AI; accuracy; hallucination; training data quality; AI outputs,0.9,Tightens,0.65,FALSE,https://ico.org.uk/about-the-ico/what-we-do/our-work-on-artificial-intelligence/generative-ai-third-call-for-evidence/,Third chapter of generative AI consultation series covering how the accuracy principle applies to generative AI model outputs and the impact of training data accuracy. ICO flagged concern about AI hallucination and the risk of inaccurate outputs causing harm to data subjects. Closed May 2024.,16/04/2026,1,TRUE
R3-010,Generative AI consultation series Chapter 4: Individual rights,1/5/24,Consultation,Response Published,1/7/24,Generative AI; data subject rights; right to erasure; right of access,generative AI; data subject rights; right to erasure; right of access; right to rectification; AI training,0.9,Tightens,0.65,FALSE,https://ico.org.uk/about-the-ico/what-we-do/our-work-on-artificial-intelligence/generative-ai-fourth-call-for-evidence/,Fourth chapter of generative AI consultation series covering how data subject rights apply in the context of AI training and fine-tuning. Addressed how organisations can comply with rights to erasure and access where personal data has been used in model training. Closed July 2024.,16/04/2026,1,TRUE
