news_id,title,publication_date,content_type,processing_activities,topic_tags,topic_relevance_score,signal_investigation,signal_consultation,enforcement_signal,source_url,raw_text,ingested_at,nlp_confidence,manually_reviewed
R2-001,ICO issues preliminary enforcement notice against Snap over My AI chatbot,6/10/23,Investigation Announcement,AI chatbot processing; children's data; DPIA obligations,generative AI; children's data; DPIA; Snapchat; AI risk assessment,0.95,TRUE,FALSE,0.85,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2023/10/uk-information-commissioner-issues-preliminary-enforcement-notice-against-snap/,ICO issued Snap Inc and Snap Group Limited with a preliminary enforcement notice over the My AI generative AI chatbot. Investigation found Snap had not adequately assessed data protection risks posed by the chatbot especially to children aged 13-17. Snap launched My AI in February 2023 for Snapchat+ subscribers then to all UK users in April 2023. ICO provisionally found the DPIA was inadequate. If a final enforcement notice were issued Snap could be required to stop offering My AI to UK users.,16/04/2026,1,TRUE
R2-002,ICO warns organisations must not ignore data protection risks as Snap My AI investigation concludes,1/5/24,News,AI chatbot processing; DPIA obligations; children's data; AI risk management,generative AI; Snapchat; DPIA; children's data; AI compliance,0.9,FALSE,FALSE,0.7,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/05/ico-warns-organisations-must-not-ignore-data-protection-risks-as-it-concludes-snap-my-ai-chatbot-investigation/,ICO concluded investigation into Snap My AI after Snap carried out a compliant risk assessment and implemented appropriate mitigations. ICO warned all organisations deploying AI that they must not ignore data protection risks. ICO confirmed it will continue monitoring My AI rollout. Enforcement notice not finalised as Snap complied but warning issued to wider industry.,16/04/2026,1,TRUE
R2-003,ICO orders Serco Leisure to stop using facial recognition technology for employee attendance,23/2/24,News,Biometric data processing; employee monitoring; facial recognition,biometrics; facial recognition; employee monitoring; workplace surveillance; enforcement notice,0.88,FALSE,FALSE,0.9,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/02/ico-orders-serco-leisure-to-stop-using-facial-recognition-technology/,"ICO issued enforcement notices to Serco Leisure and nine associated community leisure trusts ordering them to stop using facial recognition technology and fingerprint scanning to monitor attendance of over 2,000 employees across 38 facilities. ICO found employees were not offered a genuine alternative. Enforcement notice also required destruction of all biometric data. ICO simultaneously published new biometric data guidance. Commissioner stated this action put industry on notice that biometric technologies cannot be deployed lightly.",16/04/2026,1,TRUE
R2-004,Regulating AI: the ICO's strategic approach published,30/4/24,Statement,AI processing across all sectors; automated decision-making; biometric data,AI strategy; ADM; biometrics; generative AI; ICO25; regulatory approach,0.95,FALSE,FALSE,0.75,https://ico.org.uk/media2/migrated/4029424/regulating-ai-the-icos-strategic-approach.pdf,"ICO published its strategic approach to AI regulation in response to a February 2024 request from the Secretary of State for DSIT. Strategy identified AI as a key enforcement focus for 2024-25 alongside children's privacy and ad-tech. ICO positioned itself as de facto lead AI regulator. Announced programme of consensual audits of high-risk AI use cases, particularly biometrics. Confirmed enforcement action will be taken where necessary.",16/04/2026,1,TRUE
R2-005,ICO action taken against Sky Betting and Gaming for using cookies without consent,17/9/24,News,Cookie processing; behavioural advertising; consent management,cookies; ad-tech; consent; online tracking; Sky Betting; gambling,0.8,FALSE,FALSE,0.8,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/09/action-taken-against-sky-betting-and-gaming-for-using-cookies-without-consent/,ICO took enforcement action against Sky Betting and Gaming for sharing personal data via advertising cookies without consent. Sky Betting made changes in March 2023 after ICO intervention. ICO warned it was preparing to scrutinise the next 100 most frequented websites and urged all organisations to check cookie banners. Some data management platforms placed under investigation for potential PECR failures. Part of ICO's wider crackdown on ad-tech and online tracking.,16/04/2026,1,TRUE
R2-006,ICO launches generative AI consultation series,1/1/24,News,Generative AI training data; web scraping; purpose limitation; accuracy,generative AI; web scraping; legal basis; purpose limitation; AI training data; consultation,0.95,FALSE,TRUE,0.65,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/01/information-commissioner-s-office-launches-consultation-series-on-generative-ai/,ICO launched a five-part consultation series on generative AI and data protection covering: legal basis for web scraping to train AI models; purpose limitation throughout the generative AI lifecycle; accuracy of training data and model outputs; further topics on rights and accountability. Consultation responses published in December 2024 warning developers they must tell people how their information is being used.,16/04/2026,1,TRUE
R2-007,ICO publishes new fining guidance setting out how it calculates penalties,1/3/24,News,All processing activities,fining guidance; monetary penalties; enforcement policy; penalty calculation,0.85,FALSE,FALSE,0.7,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/03/ico-publishes-new-fining-guidance/,ICO published new fining guidance providing transparency on how it decides to issue penalties and calculate fine amounts. Publication designed to help organisations understand regulatory risk and the factors that increase or reduce penalty amounts including aggravating factors such as deliberate breach and mitigating factors such as self-reporting and cooperation.,16/04/2026,1,TRUE
R2-008,ICO calls on 11 social media and video sharing platforms to improve children's privacy practices,1/8/24,News,Children's data processing; social media; age assurance,children's data; Children's Code; social media; age assurance; video sharing platforms,0.9,FALSE,FALSE,0.75,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/08/social-media-and-video-sharing-platforms-put-on-notice-over-poor-children-s-privacy-practices/,ICO wrote to 11 major social media and video sharing platforms demanding improvements to children's privacy practices. Part of ongoing enforcement of the Children's Code. ICO warned that platforms failing to comply face enforcement action. Action followed earlier interventions including the TikTok fine and Snap My AI investigation.,16/04/2026,1,TRUE
R2-009,ICO warns Meta to pause plans to train generative AI on UK user data,1/6/24,News,Generative AI training data; social media data; legitimate interests,generative AI; Meta; Facebook; AI training data; legitimate interests; web scraping,0.95,TRUE,FALSE,0.85,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/06/statement-in-response-to-metas-plans-to-train-generative-ai-with-user-data/,ICO raised concerns with Meta about its plans to use UK user data from Facebook and Instagram to train generative AI models. Meta paused plans following ICO intervention. ICO stated this reflected its commitment to ensuring organisations do not use personal data for AI training without a lawful basis. Linked to broader ICO focus on generative AI and web scraping consultation.,16/04/2026,1,TRUE
R2-010,ICO joint investigation into 23andMe data breach announced,1/6/24,Investigation Announcement,Genetic data processing; data breach; special category data; international cooperation,23andMe; genetic data; data breach; international enforcement; special category data; CASL,0.9,TRUE,FALSE,0.85,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/06/ico-to-investigate-23andme-data-breach-with-canadian-counterpart/,"ICO announced joint investigation with the Office of the Privacy Commissioner of Canada into the October 2023 data breach at genetic testing company 23andMe which affected 155,592 UK users. Investigation reflected ICO commitment to international cooperation on cross-border data protection enforcement. Led ultimately to £2.31m fine issued in June 2025.",16/04/2026,1,TRUE
