bill_id,parliament_bill_id,bill_type,bill_title,session,event_type,event_date,house,bill_stage_numeric,bill_status,expected_commencement,processing_activities,relevance_score,relevance_tag,nlp_confidence,obligation_direction,affects_ico,source_url,ingested_at,manually_reviewed
L1-001,3825,Government,Data (Use and Access) Act 2025,2024-2026,Lords Introduction,23/10/2024,Lords,1,Passed,8/20/25,Data protection; automated decision-making; PECR; smart data; digital identity; cookies; international transfers,0.98,DUAA; data protection reform; UK GDPR amendment; PECR reform; ADM; ICO governance; smart data; cookies,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825,4/16/26,TRUE
L1-002,3825,Government,Data (Use and Access) Act 2025,2024-2026,Second Reading,6/11/24,Lords,2,Passed,8/20/25,Data protection; automated decision-making; PECR; smart data; digital identity; cookies,0.98,DUAA; data protection reform; UK GDPR amendment; Lords second reading,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-003,3825,Government,Data (Use and Access) Act 2025,2024-2026,Committee Stage,22/1/2025,Lords,3,Passed,8/20/25,Data protection; automated decision-making; PECR; AI copyright; smart data,0.98,DUAA; Lords committee; AI copyright amendment; Baroness Kidron; data protection reform,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-004,3825,Government,Data (Use and Access) Act 2025,2024-2026,Report Stage,12/3/25,Lords,4,Passed,8/20/25,Data protection; automated decision-making; PECR; AI copyright; smart data; digital identity,0.98,DUAA; Lords report; data protection; AI copyright; recognised legitimate interests,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-005,3825,Government,Data (Use and Access) Act 2025,2024-2026,Third Reading,2/4/25,Lords,5,Passed,8/20/25,Data protection; PECR; smart data; digital identity; ICO governance,0.98,DUAA; Lords third reading; data protection reform,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-006,3825,Government,Data (Use and Access) Act 2025,2024-2026,First Reading,9/4/25,Commons,6,Passed,8/20/25,Data protection; PECR; smart data; digital identity,0.98,DUAA; Commons first reading; data protection reform,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-007,3825,Government,Data (Use and Access) Act 2025,2024-2026,Second Reading,22/4/2025,Commons,7,Passed,8/20/25,Data protection; automated decision-making; PECR; cookies; AI copyright,0.98,DUAA; Commons second reading; data protection reform; ADM; cookies,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-008,3825,Government,Data (Use and Access) Act 2025,2024-2026,Committee Stage,7/5/25,Commons,8,Passed,8/20/25,Data protection; automated decision-making; PECR; smart data; AI copyright,0.98,DUAA; Commons committee; data protection reform; AI copyright; Baroness Kidron amendment,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-009,3825,Government,Data (Use and Access) Act 2025,2024-2026,Report Stage,19/5/2025,Commons,9,Passed,8/20/25,Data protection; PECR; smart data; digital identity; ADM,0.98,DUAA; Commons report stage; data protection reform,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-010,3825,Government,Data (Use and Access) Act 2025,2024-2026,Third Reading,4/6/25,Commons,10,Passed,8/20/25,Data protection; PECR; smart data; digital identity; ADM; ICO governance,0.98,DUAA; Commons third reading; data protection reform,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
