enforcement_id,org_name,org_type,org_size,action_date,action_type,outcome,penalty_gbp,penalty_as_max,severity_tier,aggravating_factors,mitigating_factors,appealed,appeal_outcome,processing_activities,legislation_breached,regulatory_regime,gdpr_principles,special_category_data,cross_border,ai_specific,prior_ico_contact,prior_contact_types,prior_contact_count,days_prior_contact,org_type_recidivism_rate,source_url,ingested_at,raw_summary,nlp_confidence,manually_reviewed
R1-001,Capita plc; Capita Pension Solutions Limited,Outsourcing / Public sector services,Large (250+),15/10/2025,Monetary Penalty Notice,Settled,14000000,0.311,Critical,Delayed containment (58hrs after suspicious activity detected); large-scale breach affecting 6.6m individuals; multiple organisations affected,Early settlement; no appeal; written representations submitted; remediation taken,FALSE,,Security processing; vendor data processing,UK GDPR Article 5(1)(f); Article 32,UK GDPR,Integrity and confidentiality,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2025/10/capita-plc/,16/04/2026,"ICO fined Capita plc £8m and Capita Pension Solutions Ltd £6m (total £14m) for a March 2023 ransomware breach. The breach exposed personal data of 6,656,037 individuals across multiple client organisations. A key failure was a 58-hour delay in quarantining a compromised device. Original proposed fine was £45m, reduced after voluntary settlement in October 2025.",1,TRUE
R1-002,Advanced Computer Software Group Ltd,Technology / Software,Large (250+),27/3/2025,Monetary Penalty Notice,Upheld,3070000,0.068,High,Inadequate security measures; breach caused disruption to NHS services; processor handling sensitive health data,Self-reported elements; cooperation with ICO,FALSE,,Security processing; health data processing; processor obligations,UK GDPR Article 5(1)(f); Article 32,UK GDPR,Integrity and confidentiality,TRUE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2025/03/advanced-computer-software-group-limited/,16/04/2026,ICO fined Advanced Computer Software Group Ltd £3.07m for a 2022 ransomware attack that disrupted NHS services. The company was acting as a data processor. Breach involved sensitive health records. NHS services including patient referrals were disrupted.,1,TRUE
R1-003,23andMe Inc.,Consumer genetics / Research,Large (250+),5/6/25,Monetary Penalty Notice,Upheld,2310000,0.051,High,Failure to implement appropriate security measures; special category genetic data compromised; large-scale breach via credential stuffing,Breach originated externally via credential stuffing (not direct system failure),FALSE,,Genetic data processing; consumer profiling,UK GDPR Article 5(1)(f); Article 32,UK GDPR,Integrity and confidentiality,TRUE,TRUE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2025/06/23andme/,16/04/2026,"ICO fined 23andMe £2.31m for failing to protect special category genetic data of 155,592 UK users. Hackers used credential stuffing to access accounts in 2023. ICO found the company failed to implement appropriate security measures including enhanced protections for sensitive genetic data.",1,TRUE
R1-004,Police Service of Northern Ireland (PSNI),Law enforcement / Public sector,Large (250+),3/10/24,Monetary Penalty Notice,Upheld,750000,0.017,High,Entire workforce data exposed; sensitive data including covert officers; serious risk to individual safety,Public sector organisation; immediate remediation steps taken,FALSE,,HR data processing; law enforcement data,UK GDPR Article 5(1)(f); Article 32; DPA 2018 Part 3,UK GDPR,Integrity and confidentiality,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2024/10/police-service-of-northern-ireland-mpn/,16/04/2026,"ICO fined PSNI £750,000 for accidentally publishing the personal data of its entire workforce (approximately 10,000 officers and staff) including names, ranks, and locations. Data was published in response to a Freedom of Information request. Included data on covert officers, creating serious safety risks.",1,TRUE
R1-005,TikTok Information Technologies UK Ltd; TikTok Inc.,Social media / Technology,Large (250+),15/05/2023,Monetary Penalty Notice,Under Appeal,12700000,0.282,Critical,Children's data misused; failure to obtain valid consent for under-13s; lack of transparency; large-scale processing,,TRUE,Pending full tribunal hearing,Children's data processing; consent management; transparency,UK GDPR Article 5(1)(a); Article 8; Article 12; Article 13,UK GDPR,Lawfulness fairness and transparency,FALSE,TRUE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2023/05/tiktok/,16/04/2026,"ICO fined TikTok £12.7m for misusing children's data. ICO found TikTok allowed up to 1.4m UK children under 13 to use the platform without parental consent, and failed to provide adequate privacy information. TikTok appealed; tribunal ruled in 2025 that ICO had jurisdiction and case proceeds to full hearing.",1,TRUE
R1-006,Join the Triboo Ltd,Online recruitment / Technology,Medium (50-249),14/4/2023,Monetary Penalty Notice,Upheld,130000,0.003,Medium,107 million spam emails sent; poorly signposted privacy policy; registration treated as blanket consent,,TRUE,Fine upheld; enforcement notice partially upheld,Direct marketing; consent management,PECR Regulation 22,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2023/04/join-the-triboo-limited-mpn/,16/04/2026,"ICO fined Join the Triboo £130,000 and issued enforcement notice for sending 107 million spam emails to over 400,000 people without consent between August 2019 and August 2020. Company appealed; First-tier Tribunal upheld the fine in May 2024, finding the privacy policy was poorly signposted and registration could not constitute consent to direct marketing.",1,TRUE
R1-007,Green Spark Energy Ltd,Energy / Utilities,Small (10-49),28/8/2025,Monetary Penalty Notice,Upheld,,,Medium,9.5m automated marketing calls made; misleading statements used to pressure homeowners; search warrant executed,,FALSE,,Direct marketing; automated calling,PECR Regulation 19,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2025/09/green-spark-energy-ltd-monetary-penalty-notice/,16/04/2026,"ICO issued fine and enforcement notice to Green Spark Energy Ltd for making 9,587,050 automated marketing calls between May 2023 and May 2024 without prior consent. Calls contained misleading statements about health risks from loft insulation. ICO executed a search warrant in March 2024 to obtain evidence. 497 complaints received.",1,TRUE
R1-008,Home Improvement Marketing Ltd,Marketing / Utilities,Small (10-49),28/8/2025,Enforcement Notice,Upheld,,,Low,2.4m automated calls made without consent; no opt-out mechanism; multiple calls per day to same individuals,,FALSE,,Direct marketing; automated calling,PECR Regulation 19,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2025/09/home-improvement-marketing-ltd-monetary-penalty-notice/,16/04/2026,"ICO issued enforcement notice to Home Improvement Marketing Ltd for transmitting 2,449,380 automated marketing calls between May-August 2023 without prior consent. Complainants reported multiple calls per day. Software had no opt-out option. Part of wider ICO operation targeting energy and home improvement sector.",1,TRUE
R1-009,Clearview AI Inc.,AI / Facial recognition technology,Large (250+),23/5/2022,Monetary Penalty Notice,Overturned on Appeal,7500000,0.167,Critical,Unlawful scraping of facial images of UK residents; no lawful basis; processing without knowledge of data subjects; commercial exploitation of biometric data,,TRUE,Upper Tribunal overturned FTT; ICO enforcement reinstated,Biometric data processing; web scraping; AI training data,UK GDPR Article 5; Article 6; Article 9; Article 14,UK GDPR,Lawfulness fairness and transparency; Data minimisation,TRUE,TRUE,TRUE,,,,,,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2025/10/uk-upper-tribunal-hands-down-judgment-on-clearview-ai-inc/,16/04/2026,"ICO fined Clearview AI £7.5m for unlawfully scraping facial images of UK residents to build a global biometric database. FTT overturned in November 2023 ruling ICO lacked jurisdiction. Upper Tribunal reversed FTT in October 2025, finding ICO did have jurisdiction as Clearview monitored UK residents' behaviour. Case represents landmark ruling on extraterritorial reach of UK GDPR.",1,TRUE
R1-010,Experian Limited,Credit reference / Financial services,Large (250+),12/10/20,Enforcement Notice,Overturned on Appeal,,,High,Opaque processing of personal data for marketing; data traded without individuals' knowledge; lack of transparency in direct marketing ecosystem,Long-running investigation; complex business model; Experian cooperated,TRUE,ICO appeal to Upper Tribunal dismissed (April 2024); FTT substitute enforcement notice stands,Direct marketing profiling; data brokerage; credit referencing,UK GDPR Article 5(1)(a); Article 14,UK GDPR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/04/ico-statement-on-upper-tribunal-ruling/,16/04/2026,"ICO issued enforcement notice to Experian in October 2020 following two-year investigation into credit reference agencies' use of personal data for direct marketing. First-tier Tribunal ruled in Experian's favour on key issues in February 2023, replacing ICO enforcement notice with a substitute version. ICO appealed to Upper Tribunal, which dismissed the appeal in April 2024. Significant case on legitimate interests and transparency obligations for data brokers.",1,TRUE
R1-011,Poxell Ltd,Home improvement / Energy efficiency,Small (10-49),16/1/2024,Monetary Penalty Notice,Upheld,150000,0.3,Medium,2.6m calls to TPS-registered numbers; no due diligence on consent; no PECR compliance policies or staff training,,FALSE,,Direct marketing; automated calling,PECR Regulation 21; Regulation 24,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2024/01/poxell-ltd-mpn/,16/04/2026,"ICO fined Poxell Ltd £150,000 for making 2,647,805 unsolicited direct marketing calls to TPS-registered numbers between March and July 2022, promoting energy efficiency products such as double glazing and resin driveways. Company failed to screen against TPS or maintain PECR compliance procedures.",1,TRUE
R1-012,Skean Homes Ltd,Home improvement / Energy efficiency,Small (10-49),16/1/2024,Monetary Penalty Notice,Upheld,100000,0.2,Medium,"614,342 calls to TPS-registered numbers; relied on third-party lead generator without verifying consent; no PECR compliance procedures",Negligent rather than deliberate; no aggravating or mitigating factors identified by ICO,FALSE,,Direct marketing; automated calling,PECR Regulation 21; Regulation 24,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2024/01/skean-homes-ltd-mpn/,16/04/2026,"ICO fined Skean Homes Ltd £100,000 for making 614,342 unsolicited direct marketing calls to TPS-registered numbers. Company promoted energy-saving home improvements and relied on a lead generator to screen calls, but failed to verify consent or maintain any PECR compliance documentation. Contravention found to be negligent.",1,TRUE
R1-013,HelloFresh (Grocery Delivery E-Services UK Ltd),Food delivery / Consumer subscription,Large (250+),12/1/24,Monetary Penalty Notice,Upheld,140000,0.028,Medium,79m spam emails and 1m spam texts sent; opt-in statement did not inform customers about text marketing; messages sent after opt-out and subscription cancellation; messages sent at unsociable hours,Full cooperation with ICO; remediation steps taken; infringement found to be negligent not deliberate,FALSE,,Direct marketing; consent management; email marketing,PECR Regulation 22,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2024/01/grocery-delivery-e-services-uk-ltd-ta-hellofresh/,16/04/2026,"ICO fined HelloFresh £140,000 for sending 79,779,279 spam emails and 1,113,734 spam texts between August 2021 and February 2022. The opt-in statement used at registration did not make clear that customers were consenting to receive text marketing. 15,221 complaints received via the spam reporting service. ICO noted infringement was negligent rather than deliberate and gave credit for cooperation and remediation.",1,TRUE
R1-014,LADH Limited,Financial services,Micro (<10),19/1/2024,Monetary Penalty Notice,Upheld,50000,0.1,Low,"31,329 SMS messages sent without consent; sender identity not disclosed in messages; no opt-out mechanism; company relied on unverified third-party consent claims",,FALSE,,Direct marketing; consent management; SMS marketing,PECR Regulation 22; Regulation 23,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2024/01/ladh-limited-en/,16/04/2026,"ICO fined LADH Limited £50,000 for sending 31,329 unsolicited direct marketing SMS messages between March and April 2022 promoting debt advice services. Company claimed it received verbal assurance from a third party that recipients had consented. ICO found this reliance on unverified third-party consent claims left the company open to enforcement action.",1,TRUE
R1-015,Digivo Media Limited (t/a Rid My Debt),Financial services / Debt management,Small (10-49),3/10/23,Monetary Penalty Notice,Upheld,50000,0.1,Low,"415,041 texts sent without valid consent; mandatory consent checkbox used (not freely given); consent form did not make marketing nature clear; financially vulnerable recipients targeted",,FALSE,,Direct marketing; consent management; SMS marketing; debt advice,PECR Regulation 22,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2023/10/digivo-media-limited-mpn/,16/04/2026,"ICO fined Digivo Media Limited £50,000 for sending 415,041 unsolicited SMS messages to financially vulnerable individuals between March and September 2021. Recipients were users of the Rid My Debt debt solutions website who had ticked a mandatory consent checkbox — making consent a precondition for service and therefore not freely given. 942 spam reports received.",1,TRUE
R1-016,Argentum Data Solutions Ltd,Technology / Data processing and hosting,Small (10-49),26/10/2023,Monetary Penalty Notice,Upheld,65000,0.13,Medium,2.3m SMS messages sent without consent; platform allowed third parties to send messages through its infrastructure; no evidence of consents obtained,,FALSE,,Direct marketing; SMS marketing; data processing platform,PECR Regulation 22; Regulation 23,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2023/10/argentum-data-solutions-ltd-mpn/,16/04/2026,"ICO fined Argentum Data Solutions Ltd £65,000 for sending and allowing third parties to send 2,330,423 unsolicited SMS marketing messages between January 2021 and January 2022. As an SMS platform provider ADS was held responsible for messages sent through its infrastructure. 10,242 complaints received via the Mobile UK spam reporting service. No evidence of valid consents provided.",1,TRUE
R1-017,MCP Online Ltd,Financial services / Pensions,Micro (<10),28/9/2023,Monetary Penalty Notice,Upheld,55000,0.11,Medium,"20,939 calls to CTPS/TPS-registered numbers; attempted to mask activity; no identifiable operational premises; backdated company records; marketing continued after ICO investigation letter sent",,FALSE,,Direct marketing; telephone marketing; pension advice,PECR Regulation 21; Regulation 24,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2023/09/mcp-online-ltd-en/,16/04/2026,"ICO fined MCP Online Ltd £55,000 for making 20,939 unsolicited pension marketing calls to CTPS/TPS-registered numbers. Significant aggravating factors: company took steps to mask its activity, had no identified operational premises, failed to file accounts, set up under a similar name (MCP Online Group Limited) to evade regulatory action, backdated directorship records, and continued marketing after the first ICO investigation letter.",1,TRUE
R1-018,Penny Appeal,Charity / International aid,Small (10-49),1/3/24,Enforcement Notice,Upheld,,,Low,"461,650 texts sent without consent; second batch of texts sent during ICO investigation; messages received late at night; complainants had opted out",,FALSE,,Direct marketing; charity marketing; SMS marketing,PECR Regulation 22,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2024/03/pinnacle-life-limited-mpn/,16/04/2026,"ICO issued enforcement notice to Penny Appeal (international aid charity) for sending approximately 461,650 unsolicited SMS messages over ten days to 52,179 individuals who had never consented to receive marketing. Messages included a further batch sent during Ramadan while the ICO investigation was ongoing. Complaints described messages as intrusive and often received late at night.",1,TRUE
R1-019,Pinnacle Life Limited,Financial services / Life insurance,Small (10-49),7/3/24,Monetary Penalty Notice,Upheld,80000,0.16,Medium,"47,998 calls to TPS-registered numbers; company attempted to disguise identity to avoid compliance with cease-contacting orders; calls about life insurance and later life planning",,FALSE,,Direct marketing; telephone marketing; insurance,PECR Regulation 21; Regulation 24,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2024/03/pinnacle-life-limited-mpn/,16/04/2026,"ICO fined Pinnacle Life Limited £80,000 for making 47,998 unsolicited calls to TPS-registered numbers between May 2021 and May 2022 promoting life insurance and later life planning products. Significant aggravating factor: company attempted to disguise its identity to avoid having to comply with cease-contacting orders, resulting in a higher fine.",1,TRUE
R1-020,Bharat Singh Chand (sole trader),Marketing / Debt advice / Energy grants,Micro (<10),16/9/2025,Monetary Penalty Notice,Under Appeal,200000,0.4,High,"966,449 spam texts sent; 19,138 complaints received; used hundreds of unregistered prepaid SIM cards; sender identity concealed; no consent; linked to Taipan Trading investigation",,TRUE,Pending,Direct marketing; SMS marketing; debt advice; energy grants,PECR Regulation 22; Regulation 23,PECR,Lawfulness fairness and transparency,FALSE,FALSE,FALSE,,,,,,https://ico.org.uk/action-weve-taken/enforcement/2025/09/bharat-singh-chand-1/,16/04/2026,"ICO fined sole trader Bharat Singh Chand £200,000 for sending 966,449 unsolicited spam texts between December 2023 and July 2024 about debt solutions and energy saving grants. Case emerged from a related investigation into Taipan Trading Ltd (Daniel Bentley). Chand used hundreds of unregistered prepaid SIM cards and concealed sender identity. 19,138 complaints to the 7726 spam reporting service. Chand is appealing the fine.",1,TRUE
