ngo_activity_id,publication_date,ngo_name,org_type,activity_type,title,content_summary,processing_activities,topic_tags,target_org,target_type,formal_complaint,legal_action,outcome,enforcement_signal,source_url,ingested_at,nlp_confidence,manually_reviewed
M1-001,23/05/2023,Big Brother Watch,Civil liberties campaign,Report,Biometric Britain: The Expansion of Facial Recognition Surveillance,Report documenting rapid growth in police use of live facial recognition. Found 86%+ inaccuracy rates in Met and South Wales Police deployments. Called for moratorium on LFR pending a statutory framework. Included briefing for DPDI Bill committee stage.,Biometric data processing; facial recognition; police surveillance; special category data,facial recognition; biometrics; police surveillance; LFR; DPDI Bill; inaccuracy; moratorium,Metropolitan Police; South Wales Police; Home Office,Public authority,FALSE,FALSE,,0.8,https://bigbrotherwatch.org.uk/wp-content/uploads/2023/05/Biometric-Britain.pdf,17/04/2026,0.9,TRUE
M1-002,20/07/2023,Big Brother Watch,Civil liberties campaign,Formal Complaint,Complaint to ICO re welfare fraud-scoring algorithms,Formal ICO complaint following Poverty Panopticon investigation. Found 540000 benefit applicants secretly assigned fraud-risk scores; 1.6 million people in social housing profiled by commercial algorithms. Argued processing lacked lawful basis and violated fairness and transparency principles.,Automated decision-making; welfare data processing; profiling; algorithmic scoring,ADM; welfare; algorithms; fraud scoring; profiling; local authorities; UK GDPR; ICO complaint,Multiple local authorities; DWP,Public authority,TRUE,FALSE,ICO acknowledged complaint; no enforcement action confirmed by end 2024,0.75,https://bigbrotherwatch.org.uk/press-releases/councils-hidden-algorithms-profile-millions-on-benefits-big-brother-watch-investigation-finds/,17/04/2026,0.9,TRUE
M1-003,8/3/23,Big Brother Watch,Civil liberties campaign,Parliamentary Submission,Briefing on DPDI Bill No.2 for House of Commons Committee Stage,Argued DPDI Bill weakened data subject rights including rights against automated decisions; would undermine ICO independence; proposed amendments to restore UK GDPR protections including ADM safeguards. Filed alongside Liberty and ORG.,Automated decision-making; data subject rights; ICO independence; UK GDPR,DPDI Bill; ADM; data subject rights; ICO independence; UK GDPR reform; parliamentary briefing,DSIT; Parliament,Government,FALSE,FALSE,,0.7,https://bigbrotherwatch.org.uk/wp-content/uploads/2023/05/Big-Brother-Watch-Briefing-on-the-Data-Protection-and-Digital-Information-2.0-Bill-for-House-of-Commons-Committee-Stage.pdf,17/04/2026,0.9,TRUE
M1-004,19/09/2024,Big Brother Watch,Civil liberties campaign,Report,Bossware: The Dangers of High Tech Worker Surveillance,Report exposing use of AI-powered workplace monitoring tools by UK employers. Documented employee tracking through keystroke logging; screen capture; biometric attendance monitoring. Called for statutory ban on covert employee surveillance and ICO enforcement action.,Employment data processing; workplace surveillance; biometric data; employee monitoring,bossware; workplace surveillance; employee data; ICO enforcement; biometric attendance; AI monitoring,UK employers generally,Private sector,FALSE,FALSE,,0.72,https://bigbrotherwatch.org.uk/wp-content/uploads/2024/09/BosswareWebVersion.pdf,17/04/2026,0.9,TRUE
M1-005,7/8/25,Big Brother Watch,Civil liberties campaign,Legal Challenge,Police facial recognition searches of passport database legal challenge,Announced judicial review against Home Office and police forces over secret use of facial recognition to search passport database. FOI data showed searches skyrocketed from 2 in 2020 to 417 in 2023. Argued unlawful mass biometric surveillance without statutory framework or public knowledge.,Biometric data processing; facial recognition; passport database; police surveillance,facial recognition; passport database; police; Home Office; judicial review; biometrics; mass surveillance,Home Office; police forces,Public authority,FALSE,TRUE,Legal challenge filed; ongoing at April 2026,0.85,https://bigbrotherwatch.org.uk/press-releases/passport-searches/,17/04/2026,0.9,TRUE
M1-006,24/10/2024,Big Brother Watch,Civil liberties campaign,Parliamentary Submission,Briefing on Data Use and Access Bill 2024,Raised concerns that DUA Bill enabled automated fraud detection across DWP and HMRC data with insufficient safeguards. Called for amendments requiring human review of all automated decisions affecting benefits claimants and mandatory DPIAs for public sector AI tools.,Automated decision-making; welfare data; benefits processing; DPIA obligations,DUA Bill; ADM; welfare; DWP; HMRC; DPIA; human oversight; public sector AI,DSIT; Parliament,Government,FALSE,FALSE,,0.75,https://bigbrotherwatch.org.uk/press-releases/concerns-over-governments-new-data-bill/,17/04/2026,0.9,TRUE
M1-007,28/02/2024,Open Rights Group,Digital rights campaign,Formal Complaint,ORG complaint to ICO about LiveRamp adtech data processing,Complaint to ICO and French CNIL against LiveRamp's RampID identity graph system. Found processing indiscriminately linked names and addresses with browsing histories for millions of UK users without adequate legal basis or transparency. Part of ongoing ORG campaign against unlawful adtech since 2018.,Behavioural advertising; data brokerage; profiling; consent; lawful basis,adtech; LiveRamp; RampID; consent; lawful basis; profiling; ICO complaint; CNIL; surveillance capitalism,LiveRamp,Private sector,TRUE,FALSE,ICO acknowledged; outcome pending at April 2026,0.78,https://www.openrightsgroup.org/press-releases/org-complaint-liveramp-adtech/,17/04/2026,0.9,TRUE
M1-008,15/07/2024,Open Rights Group,Digital rights campaign,Formal Complaint,ORG complaint to ICO re Meta AI training on UK user data,Formal ICO complaint about Meta's use of Facebook and Instagram user data to train generative AI models without explicit consent. Argued no valid lawful basis; processing violated purpose limitation and data minimisation principles. ICO subsequently contacted Meta and Meta paused UK AI training.,Generative AI training; social media data; purpose limitation; consent; lawful basis,Meta; generative AI; AI training; lawful basis; purpose limitation; consent; ICO complaint; UK GDPR,Meta Platforms,Private sector,TRUE,FALSE,Meta paused UK AI training in June 2024 following ICO intervention. ORG met with ICO in late 2024.,0.9,https://www.openrightsgroup.org/publications/complaint-to-the-ico-about-meta/,17/04/2026,0.9,TRUE
M1-009,14/11/2024,Open Rights Group,Digital rights campaign,Report,Alternative ICO Annual Report 2023-24,Critical assessment of ICO enforcement record. Found ICO issued only 4 private sector data protection fines in 2023-24. Compared unfavourably with European DPAs. Criticised two-year public sector trial for limiting fines. Called for statutory duty to publish enforcement logic; benchmarking against EU peers; mandatory priority sector lists.,ICO enforcement; data protection fines; public sector enforcement,ICO enforcement; alternative annual report; private sector fines; public sector trial; ORG; accountability,Information Commissioner's Office,Regulator,FALSE,FALSE,,0.82,https://www.openrightsgroup.org/publications/ico-alternative-annual-report-2023-24/,17/04/2026,0.9,TRUE
M1-010,5/3/24,Open Rights Group,Digital rights campaign,Parliamentary Submission,Briefing on DPDI Bill HoL Committee Stage on ICO statutory duty,Amendment briefing for Lords Committee Stage. Proposed statutory requirement for ICO to publish assessment logic for all enforcement decisions including non-investigation decisions. Sought to remove secondary objectives framing innovation and growth as competing with data protection enforcement.,ICO enforcement; data subject rights; secondary objectives; ICO independence,DPDI Bill; ICO statutory duty; enforcement transparency; secondary objectives; ORG; Lords,Parliament; DSIT,Government,FALSE,FALSE,,0.72,"https://www.openrightsgroup.org/publications/briefing-the-ico-isnt-working/#:~:text=The%20Information%20Commissioner's%20Office%20(ICO)%20has%20a,of%20the%20Biometrics%20and%20Surveillance%20Camera%20Commissioner**",17/04/2026,0.9,TRUE
