social_id,platform,account_handle,account_name,account_category,party,party_power,post_date,raw_text,processing_activities,topic_relevence_score,topic_tags,priority_level,regulatory_stance,engagement_score,ingested_at,nlp_confidence,manually_reviewed
P5-001,X/Twitter,@ICOnews,ICO - Information Commissioner's Office,Regulator,N/A,FALSE,6/12/23,ICO Commissioner: 2024 cannot be the year consumers lose trust in AI. Organisations must use AI authentically and transparently. We issued a preliminary enforcement notice against Snap over their My AI chatbot — their failure to properly assess data protection risks is not acceptable. If you use AI you must be able to demonstrate you have protected people's information.,AI data processing; generative AI risk; DPIA obligations,0.95,AI trust; generative AI; ICO enforcement; Snap; DPIA; My AI,Primary,Pro-enforcement,4200,17/04/2026,0.85,TRUE
P5-002,X/Twitter,@ICOnews,ICO - Information Commissioner's Office,Regulator,N/A,FALSE,23/02/2024,ICO has ordered Serco Leisure to stop using facial recognition and fingerprint scanning to monitor staff attendance. Biometric data is wholly unique — you can't reset someone's face like a password. This action puts industry on notice: biometric technologies cannot be deployed lightly.,Biometric data processing; facial recognition; employment,0.95,biometrics; facial recognition; Serco; enforcement; workplace surveillance; special category data,Primary,Pro-enforcement,8900,17/04/2026,0.85,TRUE
P5-003,X/Twitter,@ICOnews,ICO - Information Commissioner's Office,Regulator,N/A,FALSE,1/6/24,ICO is pleased Meta paused its plans to train AI on UK users' Facebook and Instagram data following our concerns. To get the most from AI it is crucial the public can trust their privacy rights will be respected from the outset. We will continue to monitor major generative AI developers.,Generative AI training; social media data; lawful basis,0.98,Meta; AI training; generative AI; lawful basis; UK GDPR; privacy rights,Primary,Pro-enforcement,11200,17/04/2026,0.85,TRUE
P5-004,X/Twitter,@ICOnews,ICO - Information Commissioner's Office,Regulator,N/A,FALSE,28/02/2024,Our bots are coming for your bots. We are developing automated tools to identify websites with non-compliant cookie banners. We reviewed the top 100 UK websites — 53 had potentially non-compliant banners. Our message is clear: it must be just as easy to reject cookies as to accept them.,Cookie processing; consent management; behavioural advertising,0.9,cookies; consent; cookie banners; compliance; ICO enforcement; PECR; ad-tech,Primary,Pro-enforcement,6800,17/04/2026,0.85,TRUE
P5-005,X/Twitter,@ICOnews,ICO - Information Commissioner's Office,Regulator,N/A,FALSE,5/6/25,The same data protection principles apply as they always have — trust matters and can only be built by organisations using people's personal information responsibly. AI is more than just a technology change; it is a change in society. AI must work for everyone not just a few.,AI processing; data protection principles; AI governance,0.92,AI; data protection principles; trust; ICO; AI strategy; biometrics,Primary,Pro-enforcement,5300,17/04/2026,0.85,TRUE
P5-006,X/Twitter,@PeterKyleMP,Peter Kyle MP,Minister,Labour,TRUE,12/6/24,At London Tech Week: under Labour we would legislate to require frontier AI labs to release their safety data. We need to move the voluntary code to a statutory regime — not a bureaucratic AI Act but targeted legislation so government can understand the risks AI poses.,Frontier AI processing; AI safety evaluation; AI governance,0.92,frontier AI; AI legislation; AI safety data; Labour; DSIT; pro-enforcement,Primary,Pro-enforcement,9400,17/04/2026,0.85,TRUE
P5-007,X/Twitter,@PeterKyleMP,Peter Kyle MP,Minister,Labour,TRUE,13/01/2025,Today we launch the AI Opportunities Action Plan — 50 recommendations to make the UK the best place to start grow and scale an AI company. National Data Library. AI Growth Zones. £14 billion committed by tech firms. There is no time to waste. The future is being built now.,AI infrastructure; national data; AI investment; public sector AI,0.88,AI Action Plan; National Data Library; AI Growth Zones; pro-growth; Labour,Primary,Deregulatory,18700,17/04/2026,0.85,TRUE
P5-008,X/Twitter,@PeterKyleMP,Peter Kyle MP,Minister,Labour,TRUE,6/6/25,I have written to MPs explaining that we are delaying the AI Bill until 2026. We want to get this right — aligning with the US and ensuring we tackle AI and copyright together. I am establishing a Parliamentary Working Group on AI and copyright.,Frontier AI regulation; AI copyright; AI governance,0.88,AI Bill; delay; AI regulation; copyright; Peter Kyle; 2026; DSIT,Primary,Neutral,7200,17/04/2026,0.85,TRUE
P5-009,X/Twitter,@MichelleDonelan,Michelle Donelan MP,Shadow Minister,Conservative,FALSE,29/03/2023,I have sought to double down on our pro-innovation approach to AI. Britain will be the safest and most innovative place to develop and deploy AI in the world. Our sector-led framework allows us to move at the pace of AI itself — not be slowed down by prescriptive legislation.,AI regulation; AI governance; sector-led regulation,0.9,AI regulation white paper; pro-innovation; DSIT; sector-led; ICO; Conservative,Primary,Neutral,8100,17/04/2026,0.85,TRUE
P5-010,X/Twitter,@VisCountCamrose,Viscount Camrose,Shadow Minister,Conservative,FALSE,6/2/24,The government believes our approach — combining a principles-based framework international leadership and voluntary measures on developers — is right for today. We asked regulators including the ICO to publish their AI strategies by 30 April 2024.,AI regulation; ICO AI strategy; sector-led,0.88,AI regulation; ICO strategy; Viscount Camrose; Conservative; DSIT Lords; April 2024,Secondary,Neutral,1800,17/04/2026,0.8,TRUE
